year,quarter,month,production_sector,orders-received,unemployment_rate,labour_costs,consumer_prices,economy's_price competitiveness,balance_of_payments,gdp,interest_rate
2005,1,1,87.1,73.6,11.6,70.3,84.5,97.0,-19072.388,83.40,2.00
2005,1,2,85.8,72.3,11.9,70.3,84.6,97.0,12614.579,83.40,2.00
2005,1,3,86.1,73.7,12.1,70.3,84.8,97.0,21713.763,83.40,2.00
2005,2,4,87.4,73.2,11.9,70.3,85.0,95.6,17593.788,83.86,2.00
2005,2,5,86.5,73.6,11.9,70.3,85.0,95.6,6893.840,83.86,2.00
2005,2,6,88.1,76.0,11.8,70.3,85.2,95.6,12023.890,83.86,2.00
2005,3,7,89.3,77.7,11.7,70.5,85.4,94.7,2901.494,84.55,2.00
2005,3,8,86.9,75.9,11.7,70.5,85.7,94.7,-2947.027,84.55,2.00
2005,3,9,88.9,78.4,11.6,70.5,86.1,94.7,848.527,84.55,2.00
2005,4,10,90.5,79.3,11.5,70.6,86.2,94.1,6537.145,84.87,2.00
2005,4,11,89.6,80.5,11.5,70.6,86.1,94.1,15006.198,84.87,2.00
2005,4,12,89.9,80.0,11.3,70.6,86.2,94.1,6360.785,84.87,2.25
2006,1,1,90.4,80.7,11.4,71.0,86.3,93.7,11745.493,85.82,2.25
2006,1,2,90.6,81.0,11.4,71.0,86.5,93.7,7873.278,85.82,2.25
2006,1,3,89.3,80.3,11.4,71.0,86.5,93.7,12651.882,85.82,2.50
2006,2,4,91.9,82.3,11.3,71.2,86.7,94.2,22823.536,87.28,2.50
2006,2,5,92.9,82.7,10.9,71.2,86.9,94.2,18879.923,87.28,2.50
2006,2,6,92.7,81.4,10.8,71.2,87.0,94.2,21672.727,87.28,2.75
2006,3,7,94.1,83.8,10.6,71.6,87.2,94.1,-7802.383,87.96,2.75
2006,3,8,94.5,86.5,10.5,71.6,87.2,94.1,6086.062,87.96,3.00
2006,3,9,94.4,85.2,10.5,71.6,87.0,94.1,17540.591,87.96,3.00
2006,4,10,94.1,84.7,10.3,71.6,87.2,94.5,1272.026,89.24,3.25
2006,4,11,95.7,85.0,10.1,71.6,87.4,94.5,18284.097,89.24,3.25
2006,4,12,96.6,85.6,9.8,71.6,87.5,94.5,11704.555,89.24,3.50
2007,1,1,96.3,86.7,9.6,71.7,88.0,95.0,-5443.699,89.36,3.50
2007,1,2,97.1,89.3,9.5,71.7,88.1,95.0,20371.188,89.36,3.50
2007,1,3,97.2,89.3,9.3,71.7,88.2,95.0,17577.575,89.36,3.75
2007,2,4,96.2,88.3,9.2,72.4,88.6,95.2,17350.801,89.95,3.75
2007,2,5,98.1,91.1,9.1,72.4,88.7,95.2,17990.181,89.95,3.75
2007,2,6,98.3,94.4,9.0,72.4,88.8,95.2,16210.582,89.95,4.00
2007,3,7,98.9,90.1,8.9,72.9,88.9,95.1,-3766.247,90.40,4.00
2007,3,8,99.1,90.6,8.8,72.9,89.0,95.1,3104.196,90.40,4.00
2007,3,9,100.2,90.7,8.7,72.9,89.3,95.1,14987.313,90.40,4.00
2007,4,10,100.2,94.7,8.6,73.5,89.6,95.7,27210.862,91.07,4.00
2007,4,11,100.0,96.4,8.5,73.5,90.4,95.7,26874.647,91.07,4.00
2007,4,12,100.7,95.4,8.4,73.5,90.2,95.7,12751.012,91.07,4.00
2008,1,1,102.3,93.1,8.2,74.5,90.5,96.1,5960.983,91.62,4.00
2008,1,2,101.8,93.4,8.0,74.5,90.6,96.1,21047.487,91.62,4.00
2008,1,3,100.9,91.9,7.9,74.5,91.0,96.1,23306.592,91.62,4.00
2008,2,4,101.4,92.4,7.9,74.0,91.0,96.6,6638.711,91.29,4.00
2008,2,5,99.3,90.0,7.9,74.0,91.4,96.6,15665.543,91.29,4.00
2008,2,6,100.2,86.9,7.7,74.0,91.8,96.6,11914.429,91.29,4.00
