year,quarter,month,production_sector,gdp,consumer_prices,industrial_production_index,interest_rate,economy's_price competitiveness,unemployment_rate,labour_costs,mutual_funds_sales,orders-received,balance_of_payments,shares_sale,CL=F
2005,1,1,87.1,83.4,84.5,75.8,2.0,97.0,11.6,70.3,11818.0,73.6,-19072.388,-4426.0,48.20000076293945
2005,1,2,85.8,83.4,84.6,75.9,2.0,97.0,11.9,70.3,5485.0,72.3,12614.579,4658.0,51.75
2005,1,3,86.1,83.4,84.8,76.2,2.0,97.0,12.1,70.3,8491.0,73.7,21713.763,1723.0,55.400001525878906
2005,2,4,87.4,83.86,85.0,76.5,2.0,95.6,11.9,70.3,4295.0,73.2,17593.788,-3212.0,49.720001220703125
2005,2,5,86.5,83.86,85.0,76.4,2.0,95.6,11.9,70.3,3684.0,73.6,6893.84,3144.0,51.970001220703125
2005,2,6,88.1,83.86,85.2,76.8,2.0,95.6,11.8,70.3,9845.0,76.0,12023.89,-440.0,56.5
2005,3,7,89.3,84.55,85.4,77.2,2.0,94.7,11.7,70.5,11237.0,77.7,2901.494,1284.0,60.56999969482422
2005,3,8,86.9,84.55,85.7,77.6,2.0,94.7,11.7,70.5,7221.0,75.9,-2947.027,1656.0,68.94000244140625
2005,3,9,88.9,84.55,86.1,77.8,2.0,94.7,11.6,70.5,6664.0,78.4,848.527,2696.0,66.23999786376953
2005,4,10,90.5,84.87,86.2,78.3,2.0,94.0,11.5,70.6,4849.0,79.3,6537.145,-703.0,59.7599983215332
2005,4,11,89.6,84.87,86.1,78.5,2.0,94.0,11.5,70.6,4155.0,80.5,15006.198,28911.0,57.31999969482422
2005,4,12,89.9,84.87,86.2,78.9,2.25,94.0,11.3,70.6,7524.0,80.0,6360.785,-2927.0,61.040000915527344
2006,1,1,90.4,85.82,86.3,80.0,2.25,93.7,11.4,71.0,8383.0,80.7,11745.493,7037.0,67.91999816894531
2006,1,2,90.6,85.82,86.5,80.4,2.25,93.7,11.4,71.0,11681.0,81.0,7873.278,4329.0,61.40999984741211
2006,1,3,89.3,85.82,86.5,80.6,2.5,93.7,11.4,71.0,4899.0,80.3,12651.882,-3916.0,66.62999725341797
2006,2,4,91.9,87.28,86.7,81.2,2.5,94.1,11.3,71.2,2671.0,82.3,22823.536,-7472.0,71.87999725341797
2006,2,5,92.9,87.28,86.9,81.2,2.5,94.1,10.9,71.2,3437.0,82.7,18879.923,-2520.0,71.29000091552734
2006,2,6,92.7,87.28,87.0,81.2,2.75,94.1,10.8,71.2,-191.0,81.4,21672.727,4750.0,73.9800033569336
2006,3,7,94.1,87.96,87.2,81.7,2.75,94.1,10.6,71.6,1159.0,83.8,-7802.383,-3432.0,74.4000015258789
2006,3,8,94.5,87.96,87.2,82.1,3.0,94.1,10.5,71.6,-1419.0,86.5,6086.062,3958.0,70.26000213623047
2006,3,9,94.4,87.96,87.0,81.8,3.0,94.1,10.5,71.6,4166.0,85.2,17540.591,20829.0,62.90999984741211
2006,4,10,94.1,89.24,87.2,81.8,3.25,94.5,10.3,71.6,-654.0,84.7,1272.026,-448.0,58.72999954223633
2006,4,11,95.7,89.24,87.4,82.0,3.25,94.5,10.1,71.6,2047.0,85.0,18284.097,7670.0,63.130001068115234
2006,4,12,96.6,89.24,87.5,82.3,3.5,94.5,9.8,71.6,11085.0,85.6,11704.555,-4509.0,61.04999923706055
2007,1,1,96.3,89.36,88.0,82.1,3.5,95.0,9.6,71.7,12438.0,86.7,-5443.699,-14298.0,58.13999938964844
2007,1,2,97.1,89.36,88.1,82.1,3.5,95.0,9.5,71.7,12663.0,89.3,20371.188,5976.0,61.790000915527344
2007,1,3,97.2,89.36,88.2,81.9,3.75,95.0,9.3,71.7,237.0,89.3,17577.575,-4642.0,65.87000274658203
2007,2,4,96.2,89.95,88.6,81.8,3.75,95.2,9.2,72.4,10550.0,88.3,17350.801,-4374.0,65.70999908447266
2007,2,5,98.1,89.95,88.7,82.2,3.75,95.2,9.1,72.4,4853.0,91.1,17990.181,15428.0,64.01000213623047
2007,2,6,98.3,89.95,88.8,82.2,4.0,95.2,9.0,72.4,1930.0,94.4,16210.582,899.0,70.68000030517578
2007,3,7,98.9,90.4,88.9,82.1,4.0,95.1,8.9,72.9,5874.0,90.1,-3766.247,-1918.0,78.20999908447266
2007,3,8,99.1,90.4,89.0,82.2,4.0,95.1,8.8,72.9,-9715.0,90.6,3104.196,-3209.0,74.04000091552734
2007,3,9,100.2,90.4,89.3,82.3,4.0,95.1,8.7,72.9,-2132.0,90.7,14987.313,-13644.0,81.66000366210938
2007,4,10,100.2,91.07,89.6,82.7,4.0,95.7,8.6,73.5,9024.0,94.7,27210.862,13005.0,94.52999877929688
2007,4,11,100.0,91.07,90.4,83.8,4.0,95.7,8.5,73.5,1172.0,96.4,26874.647,-2250.0,88.70999908447266
2007,4,12,100.7,91.07,90.2,83.8,4.0,95.7,8.4,73.5,8884.0,95.4,12751.012,4018.0,95.9800033569336
2008,1,1,102.3,91.62,90.5,84.3,4.0,96.1,8.2,74.5,-4240.0,93.1,5960.983,-2197.0,91.75
2008,1,2,101.8,91.62,90.6,84.7,4.0,96.1,8.0,74.5,7705.0,93.4,21047.487,328.0,101.83999633789062
2008,1,3,100.9,91.62,91.0,85.0,4.0,96.1,7.9,74.5,4698.0,91.9,23306.592,-4365.0,101.58000183105469
2008,2,4,101.4,91.29,91.0,85.6,4.0,96.5,7.9,74.0,8401.0,92.4,6638.711,-5703.0,113.45999908447266
2008,2,5,99.3,91.29,91.4,86.5,4.0,96.5,7.9,74.0,10504.0,90.0,15665.543,-2082.0,127.3499984741211
2008,2,6,100.2,91.29,91.8,87.3,4.0,96.5,7.7,74.0,-8122.0,86.9,11914.429,163.0,140.0
2008,3,7,98.7,90.79,92.0,88.8,4.25,95.8,7.7,74.7,711.0,86.2,-3029.557,128.0,124.08000183105469
2008,3,8,100.4,90.79,91.9,88.5,4.25,95.8,7.6,74.7,3841.0,88.0,-2466.655,1529.0,115.45999908447266
2008,3,9,98.6,90.79,92.0,88.8,4.25,95.8,7.6,74.7,2418.0,82.2,6962.351,4957.0,100.63999938964844
2008,4,10,96.5,89.39,91.9,88.8,3.75,93.9,7.6,76.3,-37827.0,76.8,11775.28,-5782.0,67.80999755859375
2008,4,11,92.5,89.39,91.6,87.6,3.25,93.9,7.6,76.3,6479.0,71.1,8558.091,-4602.0,54.43000030517578
2008,4,12,89.6,89.39,91.4,87.2,2.5,93.9,7.7,76.3,8030.0,66.3,249.226,-11826.0,44.599998474121094
2009,1,1,83.4,85.19,91.4,85.8,2.0,95.1,7.8,76.8,14347.0,61.4,-27442.262,6367.0,41.68000030517578
2009,1,2,80.9,85.19,91.6,85.3,2.0,95.1,7.9,76.8,-3732.0,59.4,4395.068,425.0,44.7599983215332
2009,1,3,81.2,85.19,91.4,84.7,1.5,95.1,8.1,76.8,-1565.0,61.8,22914.997,5581.0,49.65999984741211
2009,2,4,79.0,85.42,91.3,83.3,1.25,96.0,8.3,76.5,-244.0,61.5,5669.197,1790.0,51.119998931884766
2009,2,5,82.0,85.42,91.4,83.4,1.0,96.0,8.2,76.5,5961.0,63.8,10213.272,2235.0,66.30999755859375
2009,2,6,83.4,85.42,91.7,83.2,1.0,96.0,8.3,76.5,507.0,66.4,30018.192,5980.0,69.88999938964844
2009,3,7,82.4,85.93,91.5,82.0,1.0,96.4,8.3,77.0,7795.0,69.0,3469.139,2512.0,69.44999694824219
2009,3,8,83.8,85.93,91.8,82.4,1.0,96.4,8.2,77.0,262.0,69.7,4628.343,1284.0,69.95999908447266
2009,3,9,86.7,85.93,91.6,82.1,1.0,96.4,8.2,77.0,12147.0,72.0,3311.963,1694.0,70.61000061035156
2009,4,10,84.9,86.6,91.8,82.1,1.0,97.3,8.1,76.6,8614.0,70.3,22330.343,-1069.0,77.0
