gdp_constant_prices,year,quarter
574.332,2005,1
577.809,2005,2
583.094,2005,3
587.251,2005,4
592.026,2006,1
603.870,2006,2
609.737,2006,3
621.405,2006,4
628.126,2007,1
633.420,2007,2
638.905,2007,3
645.175,2007,4
650.584,2008,1
648.911,2008,2
647.237,2008,3
639.642,2008,4
615.774,2009,1
618.792,2009,2
625.185,2009,3
633.169,2009,4
636.889,2010,1
648.116,2010,2
659.322,2010,3
666.286,2010,4
678.984,2011,1
682.605,2011,2
689.743,2011,3
692.716,2011,4
695.160,2012,1
697.813,2012,2
704.128,2012,3
704.529,2012,4
706.429,2013,1
715.914,2013,2
722.976,2013,3
726.713,2013,4
739.579,2014,1
743.732,2014,2
748.941,2014,3
757.584,2014,4
759.537,2015,1
768.808,2015,2
774.686,2015,3
779.866,2015,4
790.245,2016,1
795.551,2016,2
799.546,2016,3
805.544,2016,4
817.727,2017,1
828.769,2017,2
839.104,2017,3
849.672,2017,4
848.873,2018,1
858.518,2018,2
857.751,2018,3
870.762,2018,4
876.831,2019,1
880.886,2019,2
888.719,2019,3
894.560,2019,4
881.485,2020,1
809.073,2020,2
867.876,2020,3
884.210,2020,4
886.534,2021,1
907.732,2021,2
928.453,2021,3
944.587,2021,4
962.521,2022,1
979.029,2022,2
993.638,2022,3
1012.073,2022,4
1029.719,2023,1
1041.192,2023,2
1052.400,2023,3
1063.813,2023,4
1068.124,2024,1
1073.781,2024,2
1078.033,2024,3
1087.972,2024,4
