year,month,Price
2005,2,4350.49
2005,3,4348.77
2005,4,4184.84
2005,5,4460.63
2005,6,4586.28
2005,7,4886.5
2005,8,4829.69
2005,9,5044.12
2005,10,4929.07
2005,11,5193.4
2005,12,5408.26
2006,1,5674.15
2006,2,5796.04
2006,3,5970.08
2006,4,6009.89
2006,5,5692.86
2006,6,5683.31
2006,7,5681.97
2006,8,5859.57
2006,9,6004.33
2006,10,6268.92
2006,11,6309.19
2006,12,6596.92
2007,1,6789.11
2007,2,6715.44
2007,3,6917.03
2007,4,7408.87
2007,5,7883.04
2007,6,8007.32
2007,7,7584.14
2007,8,7638.17
2007,9,7861.51
2007,10,8019.22
2007,11,7870.52
2007,12,8067.32
2008,1,6851.75
2008,2,6748.13
2008,3,6534.97
2008,4,6948.82
2008,5,7096.79
2008,6,6418.32
2008,7,6479.56
2008,8,6422.3
2008,9,5831.02
2008,10,4987.97
2008,11,4669.44
2008,12,4810.2
2009,1,4338.35
2009,2,3843.74
2009,3,4084.76
2009,4,4769.45
2009,5,4940.82
2009,6,4808.64
2009,7,5332.14
2009,8,5464.61
2009,9,5675.16
2009,10,5414.96
2009,11,5625.95
2009,12,5957.43
2010,1,5608.79
2010,2,5598.46
2010,3,6153.55
2010,4,6135.7
2010,5,5964.33
2010,6,5965.52
2010,7,6147.97
2010,8,5925.22
2010,9,6229.02
2010,10,6601.37
2010,11,6688.49
2010,12,6914.19
2011,1,7077.48
2011,2,7272.32
2011,3,7041.31
2011,4,7514.46
2011,5,7293.69
2011,6,7376.24
2011,7,7158.77
2011,8,5784.85
2011,9,5502.02
2011,10,6141.34
2011,11,6088.84
2011,12,5898.35
2012,1,6458.91
2012,2,6856.08
2012,3,6946.83
2012,4,6761.19
2012,5,6264.38
2012,6,6416.28
2012,7,6772.26
2012,8,6970.79
2012,9,7216.15
2012,10,7260.63
2012,11,7405.5
2012,12,7612.39
2013,1,7776.05
2013,2,7741.7
2013,3,7795.31
2013,4,7913.71
2013,5,8348.84
2013,6,7959.22
2013,7,8275.97
2013,8,8103.15
2013,9,8594.4
2013,10,9033.92
2013,11,9405.3
2013,12,9552.16
2014,1,9306.48
2014,2,9692.08
2014,3,9555.91
2014,4,9603.23
2014,5,9943.27
2014,6,9833.07
2014,7,9407.48
2014,8,9470.17
2014,9,9474.3
2014,10,9326.87
2014,11,9980.85
2014,12,9805.55
2015,1,10694.32
2015,2,11401.66
2015,3,11966.17
2015,4,11454.38
2015,5,11413.82
2015,6,10944.97
2015,7,11308.99
2015,8,10259.46
2015,9,9660.44
2015,10,10850.14
2015,11,11382.23
2015,12,10743.01
2016,1,9798.11
2016,2,9495.4
2016,3,9965.51
2016,4,10038.97
2016,5,10262.74
2016,6,9680.09
2016,7,10337.5
2016,8,10592.69
2016,9,10511.02
2016,10,10665.01
2016,11,10640.3
2016,12,11481.06
2017,1,11535.31
2017,2,11834.41
2017,3,12312.87
2017,4,12438.01
2017,5,12615.06
2017,6,12325.12
2017,7,12118.25
2017,8,12055.84
2017,9,12828.86
2017,10,13229.57
2017,11,13023.98
2017,12,12917.64
2018,1,13189.48
2018,2,12435.85
2018,3,12096.73
2018,4,12612.11
2018,5,12604.89
2018,6,12306.0
2018,7,12805.5
2018,8,12364.06
2018,9,12246.73
2018,10,11447.51
2018,11,11257.24
2018,12,10558.96
2019,1,11173.1
2019,2,11515.64
2019,3,11526.04
2019,4,12344.08
2019,5,11726.84
2019,6,12398.8
2019,7,12189.04
2019,8,11939.28
2019,9,12428.08
2019,10,12866.79
2019,11,13236.38
2019,12,13249.01
2020,1,12981.97
2020,2,11890.35
2020,3,9935.84
2020,4,10861.64
2020,5,11586.85
2020,6,12310.93
2020,7,12313.36
2020,8,12945.38
2020,9,12760.73
2020,10,11556.48
2020,11,13291.16
2020,12,13718.78
2021,1,13432.87
2021,2,13786.29
2021,3,15008.34
2021,4,15135.91
2021,5,15421.13
2021,6,15531.04
2021,7,15544.39
2021,8,15835.09
2021,9,15260.69
2021,10,15688.77
2021,11,15100.13
2021,12,15884.86
2022,1,15471.2
2022,2,14461.02
2022,3,14414.75
2022,4,14097.88
2022,5,14388.35
2022,6,12783.77
2022,7,13484.05
2022,8,12834.96
2022,9,12114.36
2022,10,13253.74
2022,11,14397.04
2022,12,13923.59
2023,1,15128.27
2023,2,15365.14
2023,3,15628.84
2023,4,15922.38
2023,5,15664.02
2023,6,16147.9
2023,7,16446.83
2023,8,15947.08
2023,9,15386.58
2023,10,14810.34
2023,11,16215.43
2023,12,16751.64
2024,1,16903.76
2024,2,17678.19
2024,3,18492.49
2024,4,17932.17
2024,5,18497.94
2024,6,18235.45
2024,7,18508.65
2024,8,18906.92
2024,9,19324.93
